材料,IDEA製品コード,製品名,基準フロー,単位,Ag,Al,Au,B,Ba,Bi,Co,Cr,Cu,Fe,Gd,La,Li,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Pt,S,Sb,Se,Sm,Ta,Te,Ti,U,V,W,Zn,Zr,GWP[kgCO2eq]
普通鋼 ,222116000mJPN,普通鋼線材・バーインコイル,1.00000000000000E+00,kg,3.96524235668494E-08,1.28263309306931E-05,1.32425639193506E-14,,1.94814280263245E-08,4.16599887130002E-17,4.38230252086669E-09,4.32015134720132E-04,6.68747816234827E-06,7.81878948211670E-01,7.30470286987089E-15,4.99001610431565E-13,2.07253891782930E-13,7.99004174768925E-03,2.05772749950484E-08,,2.67020563646247E-13,8.53249184729066E-06,3.53546937503779E-07,7.90308774867299E-07,8.56516734707574E-14,4.36887862787449E-15,1.05648523458512E-05,3.99772909220886E-10,1.35229833811570E-23,1.81456259929933E-14,,2.70459383633213E-23,1.23717214250973E-07,6.18479248259973E-07,6.78557343647412E-09,3.49054793957748E-08,5.83547489441116E-07,,1.97299968793074E+00
電磁鋼板 ,222118000mJPN,普通鋼中板・薄板 (厚さ6mm未満でローモ板、電気鋼板を含む),1.00000000000000E+00,kg,4.93615885943655E-08,1.27575085571152E-05,1.00030864125765E-14,,1.41953027110731E-08,2.99054643497685E-17,3.96833854665601E-09,1.97351226233877E-04,8.09938956081169E-06,3.85460048913956E-01,4.94321948215563E-15,3.37683060767230E-13,1.56548846151974E-13,7.26512772962451E-03,1.80903132473986E-08,,1.80697457322597E-13,4.14424403061275E-06,3.37994151777821E-07,9.26914538013079E-07,5.79619766896342E-14,3.30025508535488E-15,9.45122701523360E-06,3.48809786610005E-10,1.64661287552279E-23,1.22794603532681E-14,,3.29322228005760E-23,1.14249374405517E-07,7.54773736844072E-07,7.24542825736307E-09,3.71385198150165E-08,7.17126226845721E-07,,1.48083313473778E+00
ステンレス鋼 ,223113220mJPN,ステンレス鋼,1.00000000000000E+00,kg,1.39984337010901E-07,3.91984358429909E-05,1.53026632435539E-14,,2.00143404072151E-08,4.79670853737619E-17,5.18129583682025E-09,2.04327806830406E-01,2.27176351472735E-05,5.94404518604279E-01,8.29341563008063E-15,5.66542906338396E-13,2.39493944424393E-13,1.66409835219383E-02,3.31936078146100E-03,,3.03162551486269E-13,2.50606867484748E-03,3.88108475135596E-07,2.27986015488568E-06,9.72448711182919E-14,5.04875682276820E-15,1.34065276142792E-05,6.49707676547706E-10,4.01978115979479E-23,2.06016878090496E-14,,8.03955348434745E-23,1.66652057487227E-07,2.11445444620040E-06,1.96789393669405E-08,1.00596913910067E-07,1.98710176846362E-06,,4.73989853002728E+00
アルミニウム ,231313000mJPN,"アルミニウム一次地金, 国内製品混合, 日本",1.00000000000000E+00,kg,2.06277590564241E-08,7.62016594409943E-01,9.78659631090638E-14,,1.84537285008446E-07,1.67185563184041E-16,8.99422758493529E-08,2.02879091375507E-04,5.14273597218562E-05,8.35019908845425E-03,4.06600293934240E-15,2.77758285122109E-13,1.53120625987629E-12,1.49208630318753E-04,5.25348923474667E-07,,1.48631134526747E-13,4.71237655119694E-07,9.26135362533387E-06,5.76844604438520E-06,4.76761269623417E-14,3.22931480547291E-14,2.56589869968593E-03,4.41303438236673E-09,1.42139229822129E-22,1.01003647584369E-14,,2.84278156721670E-22,2.36858386415406E-06,2.26968841161579E-05,6.37872062725364E-07,3.22025152854621E-06,9.77374043031887E-07,,1.48696473601051E+01
銅 ,231112000pJPN,電気銅、さお銅（ビレット、ケークを含む),1.00000000000000E+00,kg,6.35908236290561E-07,5.79214829485863E-04,5.18283419653764E-12,,3.87599502573721E-05,2.19099589952041E-14,4.60538876723149E-06,1.01252931017370E-06,1.00001311302185E+00,5.00877096783370E-04,4.25750167271696E-14,2.90840030010842E-12,8.10677427964812E-11,8.52112498250790E-06,3.77482756448444E-05,,1.55631302116432E-12,2.46725667238934E-05,4.52673644758761E-04,4.52053609478753E-05,4.99215577730305E-13,1.72192967350104E-12,2.96784308739007E-03,2.06576459049757E-07,1.37682765393379E-18,1.05760669319444E-13,,2.75365220594029E-18,1.12620757136028E-04,1.26705833736196E-06,2.31028671748845E-08,2.26555334847944E-06,6.94260643285816E-06,,5.31099129753762E+00
ガラス ,211100000mJPN,"板ガラス (原料から一貫製造した板ガラス), 4桁",1.00000000000000E+00,2mm換算箱,2.59402509072970E-06,2.38670245744288E-03,5.37633696243156E-12,,1.81346822500927E-05,1.72802039604542E-14,1.86269210189494E-06,3.41775776178110E-05,4.18005976825953E-04,1.19376750662923E-02,2.83669745679282E-12,1.93781532487058E-10,8.41405140006302E-11,1.82560092071071E-04,7.44030421628850E-06,,1.03694358655204E-10,8.70809708430897E-06,1.83339856448583E-04,1.18836025649216E-04,3.32618411980068E-11,1.77436429264766E-12,4.21758182346821E-03,6.87404110522039E-07,7.94176493853074E-20,7.04664495157492E-12,,1.58835130749553E-19,1.10040142317303E-04,3.74672417819966E-05,7.86755947501661E-07,4.28243674832629E-06,4.77475332445465E-05,,7.71955942861254E+01
実装回路基板 ,284200000mJPN,"電子回路実装基板, 4桁",1.00000000000000E+00,円,2.47516629414690E-09,2.93971311293717E-06,3.85490765827598E-13,,1.54533523755163E-07,1.12965120757809E-15,1.78748642554183E-08,4.58980366602191E-07,1.28124511320493E-05,1.38888754008804E-05,1.86014710037118E-13,1.27071062006046E-11,6.03290681300273E-12,2.13701909501651E-07,1.65652451755705E-07,,6.79969448802442E-12,1.07472679644616E-07,3.40623671490903E-07,3.39601655241495E-07,2.18112507222035E-12,1.27178066797358E-13,6.09406833973480E-06,6.78186040659057E-08,3.26293380782946E-23,4.62079484918332E-13,,6.52586067368296E-23,5.81261531351629E-07,3.70895070211930E-09,1.28030142043656E-09,1.46675960266407E-08,9.85203314485261E-06,,2.26016147892275E-03
電池 ,295113000pJPN,リチウムイオン蓄電池,1.00000000000000E+00,個,2.96150748368973E-08,4.80463750136551E-05,5.46123422092565E-13,,3.92756845712938E-07,8.81663095209404E-16,5.30799923126324E-07,4.47521830210462E-04,1.54929148266092E-05,4.36557875946164E-03,6.55576660818312E-16,4.47839973384458E-14,4.60180873051286E-03,7.24072961020283E-05,8.14412396721309E-06,,2.39643476232770E-14,7.48234060665709E-06,5.62774876016192E-05,3.56026830559131E-05,7.68699848511991E-15,1.80218714300809E-13,1.33031024597585E-03,1.02323291173434E-07,1.96998576070598E-21,1.62851920279739E-15,,3.93996748244412E-21,1.39141302497592E-05,4.18883672637094E-07,5.73295949379826E-07,2.89463719127525E-06,6.25036409473978E-06,,2.24105942530317E-01
